38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	1	If	0	2	if
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	2	you	3	6	you
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	3	ask	7	10	ask
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	4	City	11	15	City
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	5	Manager	16	23	manager
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	6	T.C.	24	28	T.C.
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	7	Broadnax	29	37	Broadnax
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	8	or	38	40	or
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	9	Police	41	47	Police
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	10	Chief	48	53	Chief
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	11	U.	54	56	U.
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	12	Renee	57	62	Renee
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	1	Hall	0	4	Hall
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	2	about	5	10	about
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	3	crime	11	16	crime
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	4	in	17	19	in
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	5	Dallas	20	26	Dallas
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	6	,	26	27	,
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	7	they	28	32	they
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	8	’ll	32	35	will
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	9	tell	36	40	tell
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	10	you	41	44	you
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	11	that	45	49	that
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	12	major	50	55	major
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	13	crimes	56	62	crime
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	14	are	63	66	be
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	15	down	67	71	down
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	16	.	71	72	.
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	1	But	0	3	but
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	2	as	4	6	as
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	3	we	7	9	we
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	4	peruse	10	16	peruse
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	5	the	17	20	the
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	6	city	21	25	city
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	7	’s	25	27	's
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	8	own	28	31	own
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	9	database	32	40	database
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	10	two	41	44	two
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	11	deadly	45	51	deadly
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	12	crimes	52	58	crime
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	13	stand	59	64	stand
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	14	out	65	68	out
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	15	:	68	69	:
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	16	weapons	70	77	weapon
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	17	and	78	81	and
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	18	drugs	82	87	drug
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	19	.	87	88	.
38	037071bc-5741-4ef2-a635-07c9be02d154	1	According	-1	8	accord
