38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	1	If	O	0	2
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	2	you	O	3	6
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	3	ask	O	7	10
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	4	City	O	11	15
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	5	Manager	O	16	23
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	6	T.C.	B-PERSON	24	28
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	7	Broadnax	E-PERSON	29	37
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	8	or	O	38	40
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	9	Police	S-ORG	41	47
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	10	Chief	O	48	53
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	11	U.	B-PERSON	54	56
38	6ba0e97c-9f78-4d5d-b03f-4423dff16073	12	Renee	E-PERSON	57	62
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	1	Hall	O	0	4
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	2	about	O	5	10
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	3	crime	O	11	16
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	4	in	O	17	19
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	5	Dallas	S-GPE	20	26
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	6	,	O	26	27
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	7	they	O	28	32
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	8	’ll	O	32	35
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	9	tell	O	36	40
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	10	you	O	41	44
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	11	that	O	45	49
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	12	major	O	50	55
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	13	crimes	O	56	62
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	14	are	O	63	66
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	15	down	O	67	71
38	9914211c-f9ad-4008-8c40-52a98e39b9f6	16	.	O	71	72
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	1	But	O	0	3
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	2	as	O	4	6
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	3	we	O	7	9
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	4	peruse	O	10	16
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	5	the	O	17	20
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	6	city	O	21	25
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	7	’s	O	25	27
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	8	own	O	28	31
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	9	database	O	32	40
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	10	two	S-CARDINAL	41	44
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	11	deadly	O	45	51
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	12	crimes	O	52	58
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	13	stand	O	59	64
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	14	out	O	65	68
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	15	:	O	68	69
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	16	weapons	O	70	77
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	17	and	O	78	81
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	18	drugs	O	82	87
38	44beb770-a40d-4d5d-8d28-44dc182f3cf9	19	.	O	87	88
38	037071bc-5741-4ef2-a635-07c9be02d154	1	According	O	-1	8
38	037071bc-5741-4ef2-a635-07c9be02d154	2	to	O	9	11
38	037071bc-5741-4ef2-a635-07c9be02d154	3	the	B-ORG	12	15
38	037071bc-5741-4ef2-a635-07c9be02d154	4	Dallas	I-ORG	16	22
38	037071bc-5741-4ef2-a635-07c9be02d154	5	Police	I-ORG	23	29
38	037071bc-5741-4ef2-a635-07c9be02d154	6	Department	E-ORG	30	40
38	037071bc-5741-4ef2-a635-07c9be02d154	7	’s	O	40	42
38	037071bc-5741-4ef2-a635-07c9be02d154	8	weekly	S-DATE	43	49
38	037071bc-5741-4ef2-a635-07c9be02d154	9	report	O	50	56
38	037071bc-5741-4ef2-a635-07c9be02d154	10	to	O	57	59
38	037071bc-5741-4ef2-a635-07c9be02d154	11	City	B-ORG	60	64
38	037071bc-5741-4ef2-a635-07c9be02d154	12	Council	E-ORG	65	72
38	037071bc-5741-4ef2-a635-07c9be02d154	13	members	O	73	80
38	037071bc-5741-4ef2-a635-07c9be02d154	14	,	O	80	81
38	037071bc-5741-4ef2-a635-07c9be02d154	15	weapons	O	82	89
38	037071bc-5741-4ef2-a635-07c9be02d154	16	violations	O	90	100
38	037071bc-5741-4ef2-a635-07c9be02d154	17	citywide	O	101	109
38	037071bc-5741-4ef2-a635-07c9be02d154	18	are	O	110	113
38	037071bc-5741-4ef2-a635-07c9be02d154	19	up	O	114	116
38	037071bc-5741-4ef2-a635-07c9be02d154	20	69	B-PERCENT	117	119
38	037071bc-5741-4ef2-a635-07c9be02d154	21	percent	E-PERCENT	120	127
38	037071bc-5741-4ef2-a635-07c9be02d154	22	so	O	128	130
38	037071bc-5741-4ef2-a635-07c9be02d154	23	far	O	131	134
38	037071bc-5741-4ef2-a635-07c9be02d154	24	this	B-DATE	135	139
38	037071bc-5741-4ef2-a635-07c9be02d154	25	year	E-DATE	140	144
